@RELATION svmforemotions
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Happy,Boredom,Disgust,Fear,Neutral,Sad,Anger}

@DATA
0.088798,0.016026,2.760565,0.217896,0.214953,0.677248,0.031430,0.170687,-29.115610,1.634494,-0.044509,-0.159764,-0.399938,-0.015517,-0.152068,-0.203434,-0.198393,-0.109907,0.007788,0.141531,-0.021638,0.008408,0.003377,0.015485,0.013195,0.020088,0.023827,0.155810,0.002614,0.015298,0.004808,0.014324,0.004598,0.055668,0.094096,0.019003,0.408736,0.101617,0.033110,0.543146,0.017434,0.195827,2.545937,0.891707,0.805582,0.390684,0.372042,0.345776,0.322051,0.295131,0.317319,0.283783,0.305479,0.360153,0.296345,0.015252,0.005816,0.018861,0.021813,0.030826,0.032647,0.062963,0.004773,0.028895,0.008634,0.015652,0.008551,0.016258,Happy
0.132577,0.022727,2.839108,0.236506,0.210938,0.749450,0.031225,0.225569,-27.518344,1.997995,-0.018452,-0.335699,-0.415380,-0.149697,-0.049711,-0.313447,-0.064498,-0.157016,-0.126579,0.021770,-0.137000,0.014393,0.009994,0.017179,0.014715,0.017471,0.018462,0.042976,0.001790,0.010571,0.011885,0.032936,0.009871,0.030211,0.170622,0.032356,0.562296,0.170998,0.056246,0.783492,0.024204,0.299845,4.629956,1.319920,0.833809,0.503529,0.452852,0.407782,0.391335,0.394342,0.444698,0.419957,0.341877,0.351415,0.348153,0.021977,0.022896,0.024060,0.023000,0.025107,0.036453,0.072758,0.003089,0.023830,0.021160,0.044486,0.021740,0.019238,Happy
0.121031,0.023375,2.804654,0.229234,0.217367,0.650197,0.025162,0.187394,-27.609565,2.141442,0.714813,-0.231149,-0.369227,0.097901,-0.097197,-0.044870,-0.225711,-0.218442,-0.176973,-0.079442,-0.212389,0.027148,0.005562,0.030323,0.019892,0.015468,0.013059,0.055297,0.003554,0.012331,0.022468,0.023745,0.003816,0.033984,0.133277,0.021219,0.496307,0.118230,0.044279,0.586674,0.021187,0.212481,3.881855,1.172437,0.700764,0.630071,0.505007,0.363399,0.414287,0.277015,0.400154,0.354737,0.320124,0.353248,0.338764,0.039405,0.009468,0.032420,0.024457,0.025780,0.023581,0.079221,0.008809,0.022220,0.020681,0.026623,0.006060,0.022141,Happy
0.173196,0.018610,2.756914,0.275472,0.205850,0.884210,0.024464,0.257375,-27.478625,1.437466,0.453842,-0.634235,-0.454196,-0.072491,-0.217068,-0.152334,-0.149495,-0.065868,0.066992,0.188519,-0.045963,0.014040,0.010303,0.014621,0.006966,0.005810,0.010517,0.040605,0.003324,0.026410,0.022291,0.011195,0.005014,0.025586,0.185362,0.022366,0.652692,0.161870,0.039777,0.821803,0.021504,0.269115,2.918455,1.590981,0.602298,0.492120,0.488006,0.349238,0.454938,0.480760,0.333736,0.305123,0.261225,0.400142,0.246153,0.025018,0.025868,0.017960,0.011162,0.008638,0.017113,0.067112,0.005722,0.035017,0.028667,0.014289,0.008462,0.021581,Happy
0.115353,0.017283,2.632128,0.240410,0.215476,0.882662,0.027063,0.209750,-27.456470,1.564635,-0.409222,-0.283051,-0.423788,-0.402769,-0.092488,0.024133,0.165115,0.012695,-0.014427,-0.059492,-0.155634,0.021114,0.010941,0.018182,0.007873,0.010806,0.012001,0.036359,0.002228,0.007776,0.013541,0.027990,0.016060,0.026485,0.104148,0.022557,0.596470,0.121697,0.043369,0.628303,0.023412,0.205988,3.369790,1.056598,0.886337,0.718531,0.530200,0.594663,0.478494,0.493899,0.516224,0.473152,0.376515,0.384279,0.238247,0.033470,0.018434,0.027905,0.012755,0.018547,0.020268,0.066462,0.004473,0.017146,0.022292,0.032075,0.025399,0.018079,Happy
0.104704,0.005876,2.888036,0.214373,0.208375,0.751651,0.025153,0.184677,-29.360450,1.902717,-0.156387,0.000627,-0.180682,-0.135672,-0.047682,-0.138931,-0.104476,-0.084490,-0.106471,-0.026638,-0.188338,0.025718,0.004213,0.029889,0.016608,0.012229,0.008179,0.087718,0.004117,0.008710,0.014845,0.021931,0.009907,0.040505,0.107036,0.009051,0.460389,0.120563,0.045533,0.615541,0.017826,0.213972,3.676521,1.211888,0.895000,0.483137,0.463559,0.409915,0.326472,0.365176,0.415560,0.419418,0.326172,0.320457,0.320253,0.026867,0.006662,0.033170,0.025158,0.023126,0.013224,0.092027,0.007155,0.014017,0.021238,0.030578,0.015577,0.024019,Happy
0.100285,0.010876,2.841337,0.220959,0.214433,0.809810,0.025420,0.202556,-28.080889,1.958448,0.143929,-0.200808,-0.421197,-0.144692,-0.286271,-0.248791,-0.258611,-0.059468,-0.050296,0.179413,-0.034066,0.009678,0.002975,0.016863,0.020899,0.017596,0.034162,0.042835,0.002746,0.012586,0.019737,0.026042,0.006786,0.032976,0.103671,0.011957,0.588343,0.121414,0.039104,0.689421,0.020369,0.237147,3.751616,0.958696,0.830320,0.582146,0.474899,0.410417,0.432003,0.435322,0.445974,0.468368,0.455441,0.397633,0.277107,0.014566,0.006830,0.027608,0.045420,0.023500,0.055108,0.075224,0.005364,0.022391,0.029686,0.037553,0.011324,0.022519,Happy
0.086701,0.020278,2.898399,0.200907,0.212650,0.615854,0.028443,0.142898,-27.546505,2.107735,0.184920,-0.326166,-0.278148,-0.064599,-0.138489,-0.026296,-0.221864,-0.049263,-0.093723,0.059749,-0.141042,0.015009,0.007078,0.026092,0.008170,0.006987,0.012784,0.055675,0.011731,0.019008,0.033156,0.024731,0.009819,0.036653,0.092626,0.020978,0.315184,0.090150,0.041543,0.437057,0.026016,0.144839,3.351578,0.955782,0.854555,0.606256,0.359517,0.453549,0.446847,0.380109,0.389708,0.365502,0.332258,0.363042,0.340831,0.018386,0.011139,0.033970,0.012572,0.009994,0.020892,0.086938,0.022715,0.025504,0.030758,0.034859,0.019063,0.021537,Happy
0.184919,0.012608,2.789028,0.296181,0.201699,1.605814,0.016187,0.341344,-28.227932,-0.303899,-0.429384,-0.367883,-0.515738,-0.198442,-0.302945,-0.049325,0.069137,0.109883,0.024638,-0.044340,0.058688,0.006725,0.008266,0.016200,0.012061,0.009771,0.011600,0.016434,0.002775,0.006513,0.008861,0.018455,0.008171,0.018464,0.090607,0.020545,0.580416,0.086372,0.038292,0.703336,0.011508,0.200399,3.679096,1.582731,0.916588,0.787865,0.482562,0.505997,0.411790,0.475832,0.561580,0.530496,0.497173,0.443537,0.382670,0.008875,0.014212,0.031923,0.027143,0.020538,0.022502,0.042803,0.004805,0.012566,0.012196,0.024932,0.011890,0.019648,Happy
0.119319,0.007837,2.896201,0.229505,0.205833,0.962925,0.022135,0.180701,-29.284151,0.978730,-0.311574,0.265713,-0.365718,-0.396861,-0.460568,-0.369180,-0.011336,0.122503,0.230887,-0.105932,-0.010584,0.023906,0.003497,0.017420,0.012752,0.011794,0.019977,0.038217,0.001918,0.016045,0.010952,0.023687,0.008823,0.027038,0.093030,0.012930,0.466513,0.074769,0.048415,0.683437,0.013610,0.162967,4.390888,1.845879,0.755794,0.553634,0.358596,0.308657,0.338588,0.462212,0.472581,0.416262,0.494616,0.446123,0.261570,0.045976,0.008739,0.031455,0.021420,0.017222,0.035779,0.063220,0.003390,0.022959,0.017920,0.030100,0.011985,0.018062,Happy
0.143445,0.007203,2.840313,0.269231,0.224049,1.198249,0.023751,0.276469,-30.457577,0.674835,-0.293465,-0.018054,-0.466265,-0.099039,-0.128814,-0.193336,0.194907,0.121128,0.228025,-0.133923,0.101503,0.003908,0.003496,0.023440,0.004435,0.012967,0.015744,0.054054,0.001717,0.010974,0.013205,0.028564,0.006518,0.029259,0.099843,0.012766,0.333477,0.104021,0.046136,0.717191,0.017134,0.221306,2.861328,1.182530,0.606979,0.526058,0.434827,0.363868,0.412124,0.411877,0.507244,0.360105,0.341731,0.360800,0.220088,0.006456,0.007111,0.019185,0.010014,0.020753,0.024715,0.037936,0.002721,0.017854,0.018421,0.033052,0.010226,0.012778,Happy
0.127571,0.011995,2.894085,0.255624,0.221120,1.115945,0.023425,0.260479,-27.393351,1.265037,-0.187686,0.113396,-0.467020,-0.082873,-0.212628,-0.478683,-0.412219,-0.238015,0.124352,0.115080,0.231910,0.006637,0.001799,0.021511,0.015007,0.041807,0.047636,0.030486,0.003519,0.008224,0.007995,0.011079,0.006564,0.032074,0.103292,0.016554,0.419386,0.103663,0.051192,0.681839,0.020609,0.228647,2.937838,1.125813,0.787862,0.608063,0.444938,0.372566,0.341110,0.359826,0.529970,0.448569,0.430378,0.393508,0.310583,0.008791,0.002562,0.030348,0.023641,0.060139,0.067621,0.038666,0.007329,0.011174,0.010521,0.017441,0.009719,0.019620,Happy
0.119743,0.010742,2.639926,0.231758,0.222409,0.908142,0.024616,0.216625,-28.232176,1.781816,0.174481,-0.055435,-0.445118,-0.075206,0.121954,-0.224243,-0.182794,-0.311322,-0.143350,0.010625,-0.045876,0.011608,0.002427,0.053331,0.027678,0.026835,0.013965,0.038352,0.002905,0.007864,0.007665,0.026565,0.004769,0.031223,0.106758,0.018019,0.492299,0.108815,0.043963,0.815658,0.023128,0.231403,4.499987,0.865285,1.061520,0.523435,0.527822,0.369557,0.381691,0.368503,0.342879,0.400192,0.372479,0.301741,0.250282,0.017822,0.002351,0.065177,0.043574,0.039804,0.020298,0.061496,0.004929,0.014405,0.010991,0.027710,0.007723,0.022045,Happy
0.118805,0.016040,2.807736,0.210918,0.221966,0.762894,0.026245,0.168375,-27.056633,1.988319,-0.099545,-0.035096,-0.521118,-0.015267,0.250826,-0.244572,-0.072771,-0.295515,-0.304434,-0.273657,-0.375579,0.031093,0.009697,0.029403,0.022208,0.017659,0.006441,0.031026,0.004041,0.006115,0.010864,0.031240,0.012011,0.027589,0.116340,0.020973,0.440754,0.092092,0.056582,0.559872,0.026147,0.206447,3.889642,0.849051,1.130721,0.396210,0.534562,0.342750,0.343571,0.298593,0.370987,0.294201,0.388854,0.318022,0.410946,0.039640,0.013648,0.026635,0.029385,0.032102,0.006734,0.051567,0.007852,0.008809,0.012389,0.033104,0.021859,0.017281,Happy
0.144024,0.018668,2.751544,0.240872,0.210963,0.943335,0.018476,0.231771,-26.763309,1.883318,0.782081,-0.064516,-0.564448,-0.104943,0.103744,-0.020495,0.136013,0.034456,0.022465,0.074181,-0.197003,0.021272,0.010664,0.037603,0.009517,0.024744,0.009562,0.032012,0.002441,0.009908,0.010887,0.027895,0.012029,0.026021,0.146325,0.026003,0.482891,0.132154,0.043124,0.890672,0.011953,0.258169,3.224335,1.327638,0.541783,0.496543,0.501117,0.286421,0.367493,0.305533,0.272356,0.262456,0.317926,0.230667,0.256521,0.024581,0.019728,0.038398,0.012948,0.026893,0.013701,0.049651,0.004715,0.015490,0.010142,0.027749,0.017100,0.016662,Happy
0.093492,0.012098,2.908239,0.192820,0.202147,0.697602,0.029328,0.158042,-28.073083,2.087320,0.446348,0.064051,-0.419611,-0.296105,0.085461,0.149150,-0.051953,0.169577,-0.132510,0.024012,-0.239252,0.018728,0.009976,0.041936,0.008032,0.014139,0.007811,0.078060,0.004238,0.017198,0.018614,0.023273,0.006738,0.037101,0.101006,0.014843,0.234165,0.093285,0.041141,0.521146,0.025781,0.166704,3.636580,0.859197,0.823061,0.450199,0.384280,0.232470,0.342373,0.395938,0.315562,0.298620,0.331370,0.298775,0.303529,0.019316,0.016570,0.043957,0.009136,0.017914,0.013263,0.075988,0.009980,0.032121,0.024998,0.024032,0.009499,0.023435,Happy
0.121277,0.011121,2.713074,0.233342,0.217600,0.892319,0.021723,0.220917,-27.978415,1.704403,-0.117338,0.068713,-0.093139,-0.032866,-0.075931,-0.097596,-0.169339,-0.090430,-0.332068,-0.033727,0.001933,0.016391,0.002442,0.042800,0.020050,0.022897,0.009285,0.048815,0.003349,0.010066,0.013346,0.023986,0.005422,0.032453,0.119242,0.015568,0.562280,0.116387,0.039976,0.763683,0.015358,0.239091,4.219781,0.937691,1.193472,0.556741,0.369606,0.460714,0.344321,0.245453,0.384444,0.346839,0.452175,0.347943,0.333228,0.028035,0.002719,0.048105,0.029240,0.036573,0.012592,0.082297,0.005636,0.020848,0.020626,0.035769,0.008095,0.020701,Happy
0.117710,0.009557,2.732527,0.216634,0.207889,0.932532,0.017803,0.218581,-28.923065,1.594807,-0.063799,0.059473,-0.295276,0.181959,-0.044729,-0.009207,-0.081952,0.034268,-0.195921,0.044091,-0.051546,0.018722,0.004888,0.024972,0.007145,0.009246,0.009624,0.037169,0.003831,0.008529,0.019751,0.049981,0.005600,0.027997,0.096141,0.018575,0.521312,0.087631,0.046401,0.606289,0.012653,0.185515,4.748014,1.066155,1.119321,0.441798,0.615115,0.356239,0.262463,0.270778,0.248570,0.271802,0.331478,0.198109,0.296330,0.017422,0.007378,0.037483,0.013236,0.012905,0.013866,0.071382,0.005843,0.011357,0.025448,0.058563,0.005821,0.021686,Happy
0.158041,0.010114,2.584469,0.257490,0.207264,1.004463,0.020890,0.258250,-28.461686,1.493889,0.147080,-0.144023,-0.139244,0.018288,-0.181787,0.039249,0.007494,-0.037180,-0.216346,-0.066028,-0.174384,0.024054,0.005361,0.025737,0.012751,0.017591,0.012370,0.036764,0.002609,0.005138,0.016546,0.027834,0.009494,0.024849,0.150380,0.011686,0.653713,0.135228,0.044053,0.691922,0.015476,0.235706,3.258769,1.392857,0.934038,0.523428,0.560507,0.308204,0.362621,0.343294,0.328753,0.263106,0.266181,0.317672,0.324547,0.030941,0.008604,0.034706,0.018953,0.024410,0.018769,0.054922,0.005510,0.008706,0.020809,0.027843,0.016953,0.017084,Happy
0.144238,0.011067,2.712194,0.249865,0.207358,1.089938,0.024493,0.266007,-27.932710,1.502501,-0.136683,-0.232203,-0.182921,-0.028010,-0.183783,-0.117437,-0.196057,-0.236653,-0.340854,-0.022719,-0.090152,0.018818,0.005642,0.022653,0.017881,0.026855,0.014783,0.035457,0.004618,0.007544,0.013461,0.016321,0.006390,0.025001,0.141964,0.014894,0.568383,0.138704,0.047243,0.742633,0.025126,0.265946,4.384849,1.081280,1.259796,0.580198,0.532975,0.345418,0.366353,0.340142,0.371621,0.390823,0.397465,0.329272,0.386368,0.034368,0.008570,0.028804,0.019431,0.035255,0.020794,0.067295,0.009819,0.010175,0.024160,0.020434,0.010079,0.021225,Happy
0.147152,0.007478,2.716917,0.260067,0.219492,0.973289,0.022318,0.263621,-28.370475,1.643189,0.570047,-0.014275,-0.181941,0.069082,-0.285189,0.031187,-0.054395,-0.021490,-0.084866,0.098724,-0.089471,0.013851,0.004365,0.030301,0.008160,0.023457,0.014149,0.050427,0.001385,0.012318,0.019430,0.025398,0.006132,0.027140,0.147914,0.010368,0.620439,0.142272,0.040480,0.767871,0.015919,0.263889,3.892269,1.524316,0.749608,0.516600,0.433628,0.323342,0.469195,0.282021,0.296488,0.334425,0.260676,0.313534,0.251166,0.017713,0.009039,0.043152,0.009268,0.033281,0.019202,0.069257,0.001983,0.021681,0.026988,0.031991,0.010736,0.019850,Happy
